[54]2026-01-14 15:15:28,358: 
>>>>> Main Config
[Dataset]
data_dir: data/recsys_data
dataset: amazon_cds
min_user_per_item: 1
min_item_per_user: 10
leave_k: 5
popularity_order: True

[Evaluator]
ks: [1, 5, 10, 20]

[EarlyStop]
early_stop: 10
early_stop_measure: mean

[Experiment]
num_epochs: 72
verbose: 0
print_step: 1
test_step: 1
test_from: 0
model_name: MF_adaboost
gpu: 0

>>>>> model Config
[Model]
dropout: 0
emb_dim: 100
neg_sample_rate: 2
neg_sample_rate_eval: 2
reg: 1e-05
batch_size: 1024
test_batch_size: 1024
lr: 0.001
beta1: 1
beta2: 2
tau: 0.001
neg_sample_num: 5
display_step: 1
iters: 40


[54]2026-01-14 15:15:28,359: 
Dataset: amazon_cds
# of users: 581
# of items: 636

[54]2026-01-14 15:15:28,388: train start ... !
[54]2026-01-14 15:15:29,619: epoch=  1, loss=20973.783, train time=0.09, epoch time=0.24 (0.09 + 0.16), NDCG@1=0.0069, NDCG@5=0.0085, NDCG@10=0.0119, NDCG@20=0.0179
[54]2026-01-14 15:15:29,866: epoch=  2, loss=20938.266, train time=0.12, epoch time=0.24 (0.12 + 0.12), NDCG@1=0.0052, NDCG@5=0.0080, NDCG@10=0.0121, NDCG@20=0.0185
[54]2026-01-14 15:15:30,080: epoch=  3, loss=20876.941, train time=0.11, epoch time=0.21 (0.11 + 0.10), NDCG@1=0.0069, NDCG@5=0.0093, NDCG@10=0.0126, NDCG@20=0.0203
[54]2026-01-14 15:15:30,306: epoch=  4, loss=20856.668, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.0086, NDCG@5=0.0116, NDCG@10=0.0162, NDCG@20=0.0221
[54]2026-01-14 15:15:30,534: epoch=  5, loss=20766.924, train time=0.11, epoch time=0.21 (0.11 + 0.10), NDCG@1=0.0155, NDCG@5=0.0167, NDCG@10=0.0210, NDCG@20=0.0274
[54]2026-01-14 15:15:30,772: epoch=  6, loss=20678.887, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.0275, NDCG@5=0.0231, NDCG@10=0.0287, NDCG@20=0.0372
[54]2026-01-14 15:15:31,013: epoch=  7, loss=20560.324, train time=0.12, epoch time=0.23 (0.12 + 0.10), NDCG@1=0.0448, NDCG@5=0.0432, NDCG@10=0.0457, NDCG@20=0.0571
[54]2026-01-14 15:15:31,255: epoch=  8, loss=20411.074, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.0826, NDCG@5=0.0651, NDCG@10=0.0700, NDCG@20=0.0872
[54]2026-01-14 15:15:31,491: epoch=  9, loss=20142.850, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.1033, NDCG@5=0.0873, NDCG@10=0.0950, NDCG@20=0.1162
[54]2026-01-14 15:15:31,734: epoch= 10, loss=19798.305, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.1222, NDCG@5=0.1018, NDCG@10=0.1135, NDCG@20=0.1350
[54]2026-01-14 15:15:31,982: epoch= 11, loss=19300.271, train time=0.11, epoch time=0.23 (0.11 + 0.12), NDCG@1=0.1256, NDCG@5=0.1140, NDCG@10=0.1206, NDCG@20=0.1444
[54]2026-01-14 15:15:32,207: epoch= 12, loss=18680.730, train time=0.12, epoch time=0.21 (0.12 + 0.09), NDCG@1=0.1360, NDCG@5=0.1185, NDCG@10=0.1263, NDCG@20=0.1513
[54]2026-01-14 15:15:32,447: epoch= 13, loss=17897.301, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.1394, NDCG@5=0.1204, NDCG@10=0.1284, NDCG@20=0.1568
[54]2026-01-14 15:15:32,698: epoch= 14, loss=17069.840, train time=0.13, epoch time=0.25 (0.13 + 0.11), NDCG@1=0.1463, NDCG@5=0.1237, NDCG@10=0.1311, NDCG@20=0.1597
[54]2026-01-14 15:15:32,932: epoch= 15, loss=16262.200, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.1497, NDCG@5=0.1280, NDCG@10=0.1356, NDCG@20=0.1626
[54]2026-01-14 15:15:33,159: epoch= 16, loss=15555.550, train time=0.11, epoch time=0.21 (0.11 + 0.10), NDCG@1=0.1480, NDCG@5=0.1314, NDCG@10=0.1378, NDCG@20=0.1655
[54]2026-01-14 15:15:33,406: epoch= 17, loss=14860.410, train time=0.12, epoch time=0.23 (0.12 + 0.11), NDCG@1=0.1532, NDCG@5=0.1350, NDCG@10=0.1416, NDCG@20=0.1686
[54]2026-01-14 15:15:33,616: epoch= 18, loss=14293.781, train time=0.12, epoch time=0.21 (0.12 + 0.08), NDCG@1=0.1532, NDCG@5=0.1370, NDCG@10=0.1453, NDCG@20=0.1709
[54]2026-01-14 15:15:33,862: epoch= 19, loss=13741.007, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.1721, NDCG@5=0.1421, NDCG@10=0.1524, NDCG@20=0.1775
[54]2026-01-14 15:15:34,068: epoch= 20, loss=13293.580, train time=0.12, epoch time=0.20 (0.12 + 0.08), NDCG@1=0.1824, NDCG@5=0.1501, NDCG@10=0.1535, NDCG@20=0.1824
[54]2026-01-14 15:15:34,309: epoch= 21, loss=12783.441, train time=0.15, epoch time=0.24 (0.15 + 0.08), NDCG@1=0.1893, NDCG@5=0.1541, NDCG@10=0.1561, NDCG@20=0.1846
[54]2026-01-14 15:15:34,537: epoch= 22, loss=12381.312, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.1928, NDCG@5=0.1581, NDCG@10=0.1594, NDCG@20=0.1908
[54]2026-01-14 15:15:34,774: epoch= 23, loss=11992.014, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.1893, NDCG@5=0.1587, NDCG@10=0.1621, NDCG@20=0.1953
[54]2026-01-14 15:15:35,039: epoch= 24, loss=11615.350, train time=0.14, epoch time=0.26 (0.14 + 0.11), NDCG@1=0.1928, NDCG@5=0.1634, NDCG@10=0.1673, NDCG@20=0.2017
[54]2026-01-14 15:15:35,275: epoch= 25, loss=11201.519, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.1945, NDCG@5=0.1659, NDCG@10=0.1734, NDCG@20=0.2076
[54]2026-01-14 15:15:35,523: epoch= 26, loss=10755.027, train time=0.13, epoch time=0.24 (0.13 + 0.11), NDCG@1=0.1962, NDCG@5=0.1689, NDCG@10=0.1788, NDCG@20=0.2123
[54]2026-01-14 15:15:35,787: epoch= 27, loss=10467.272, train time=0.14, epoch time=0.26 (0.14 + 0.12), NDCG@1=0.2065, NDCG@5=0.1700, NDCG@10=0.1821, NDCG@20=0.2187
[54]2026-01-14 15:15:36,015: epoch= 28, loss=10188.440, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2083, NDCG@5=0.1728, NDCG@10=0.1853, NDCG@20=0.2239
[54]2026-01-14 15:15:36,244: epoch= 29, loss=9781.960, train time=0.14, epoch time=0.22 (0.14 + 0.09), NDCG@1=0.2031, NDCG@5=0.1731, NDCG@10=0.1871, NDCG@20=0.2262
[54]2026-01-14 15:15:36,481: epoch= 30, loss=9512.165, train time=0.14, epoch time=0.23 (0.14 + 0.10), NDCG@1=0.2083, NDCG@5=0.1747, NDCG@10=0.1902, NDCG@20=0.2314
[54]2026-01-14 15:15:36,731: epoch= 31, loss=9182.023, train time=0.13, epoch time=0.25 (0.13 + 0.11), NDCG@1=0.2117, NDCG@5=0.1781, NDCG@10=0.1930, NDCG@20=0.2358
[54]2026-01-14 15:15:36,974: epoch= 32, loss=8919.151, train time=0.12, epoch time=0.24 (0.12 + 0.12), NDCG@1=0.2151, NDCG@5=0.1808, NDCG@10=0.1987, NDCG@20=0.2398
[54]2026-01-14 15:15:37,211: epoch= 33, loss=8586.648, train time=0.12, epoch time=0.23 (0.12 + 0.11), NDCG@1=0.2220, NDCG@5=0.1845, NDCG@10=0.2002, NDCG@20=0.2420
[54]2026-01-14 15:15:37,431: epoch= 34, loss=8303.684, train time=0.11, epoch time=0.22 (0.11 + 0.10), NDCG@1=0.2203, NDCG@5=0.1854, NDCG@10=0.2037, NDCG@20=0.2443
[54]2026-01-14 15:15:37,675: epoch= 35, loss=8082.733, train time=0.12, epoch time=0.24 (0.12 + 0.12), NDCG@1=0.2134, NDCG@5=0.1850, NDCG@10=0.2033, NDCG@20=0.2450
[54]2026-01-14 15:15:37,925: epoch= 36, loss=7752.007, train time=0.12, epoch time=0.24 (0.12 + 0.12), NDCG@1=0.2186, NDCG@5=0.1886, NDCG@10=0.2070, NDCG@20=0.2468
[54]2026-01-14 15:15:38,153: epoch= 37, loss=7527.105, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2169, NDCG@5=0.1930, NDCG@10=0.2098, NDCG@20=0.2497
[54]2026-01-14 15:15:38,392: epoch= 38, loss=7299.851, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.2306, NDCG@5=0.1969, NDCG@10=0.2133, NDCG@20=0.2539
[54]2026-01-14 15:15:38,606: epoch= 39, loss=7088.844, train time=0.10, epoch time=0.20 (0.10 + 0.09), NDCG@1=0.2255, NDCG@5=0.1948, NDCG@10=0.2120, NDCG@20=0.2544
[54]2026-01-14 15:15:38,836: epoch= 40, loss=6892.864, train time=0.12, epoch time=0.23 (0.12 + 0.10), NDCG@1=0.2272, NDCG@5=0.1973, NDCG@10=0.2146, NDCG@20=0.2567
[54]2026-01-14 15:15:39,056: epoch= 41, loss=6632.106, train time=0.12, epoch time=0.22 (0.12 + 0.09), NDCG@1=0.2324, NDCG@5=0.2003, NDCG@10=0.2175, NDCG@20=0.2611
[54]2026-01-14 15:15:39,287: epoch= 42, loss=6431.043, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2324, NDCG@5=0.2004, NDCG@10=0.2200, NDCG@20=0.2610
[54]2026-01-14 15:15:39,528: epoch= 43, loss=6249.512, train time=0.12, epoch time=0.23 (0.12 + 0.10), NDCG@1=0.2289, NDCG@5=0.2022, NDCG@10=0.2207, NDCG@20=0.2620
[54]2026-01-14 15:15:39,767: epoch= 44, loss=6029.526, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2306, NDCG@5=0.2019, NDCG@10=0.2201, NDCG@20=0.2630
[54]2026-01-14 15:15:40,075: epoch= 45, loss=5881.502, train time=0.14, epoch time=0.30 (0.14 + 0.17), NDCG@1=0.2375, NDCG@5=0.2045, NDCG@10=0.2241, NDCG@20=0.2664
[54]2026-01-14 15:15:40,304: epoch= 46, loss=5715.715, train time=0.11, epoch time=0.22 (0.11 + 0.12), NDCG@1=0.2358, NDCG@5=0.2042, NDCG@10=0.2244, NDCG@20=0.2668
[54]2026-01-14 15:15:40,513: epoch= 47, loss=5575.603, train time=0.12, epoch time=0.21 (0.12 + 0.08), NDCG@1=0.2375, NDCG@5=0.2045, NDCG@10=0.2254, NDCG@20=0.2666
[54]2026-01-14 15:15:40,752: epoch= 48, loss=5410.845, train time=0.14, epoch time=0.23 (0.14 + 0.10), NDCG@1=0.2392, NDCG@5=0.2064, NDCG@10=0.2274, NDCG@20=0.2689
[54]2026-01-14 15:15:40,997: epoch= 49, loss=5256.926, train time=0.13, epoch time=0.24 (0.13 + 0.11), NDCG@1=0.2478, NDCG@5=0.2093, NDCG@10=0.2296, NDCG@20=0.2714
[54]2026-01-14 15:15:41,228: epoch= 50, loss=5065.888, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2478, NDCG@5=0.2108, NDCG@10=0.2287, NDCG@20=0.2736
[54]2026-01-14 15:15:41,455: epoch= 51, loss=4985.858, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.2461, NDCG@5=0.2076, NDCG@10=0.2293, NDCG@20=0.2738
