[54]2026-01-14 15:26:36,030: 
>>>>> Main Config
[Dataset]
data_dir: data/recsys_data
dataset: amazon_cds
min_user_per_item: 1
min_item_per_user: 10
leave_k: 5
popularity_order: True

[Evaluator]
ks: [1, 5, 10, 20]

[EarlyStop]
early_stop: 10
early_stop_measure: mean

[Experiment]
num_epochs: 72
verbose: 0
print_step: 1
test_step: 1
test_from: 0
model_name: MF_CFAdaBoost
gpu: 0

>>>>> model Config
[Model]
dropout: 0
emb_dim: 100
neg_sample_rate: 2
neg_sample_rate_eval: 2
reg: 1e-05
batch_size: 1024
test_batch_size: 1024
lr: 0.001
beta1: 1
beta2: 2
tau: 0.001
neg_sample_num: 5
display_step: 1
iters: 40


[54]2026-01-14 15:26:36,030: 
Dataset: amazon_cds
# of users: 581
# of items: 636

[54]2026-01-14 15:26:43,100: epoch= 26, loss=10730.114, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2048, NDCG@5=0.1752, NDCG@10=0.1844, NDCG@20=0.2236
[54]2026-01-14 15:26:43,335: epoch= 27, loss=10332.458, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2083, NDCG@5=0.1795, NDCG@10=0.1899, NDCG@20=0.2286
[54]2026-01-14 15:26:43,552: epoch= 28, loss=10023.840, train time=0.12, epoch time=0.21 (0.12 + 0.09), NDCG@1=0.2014, NDCG@5=0.1778, NDCG@10=0.1896, NDCG@20=0.2320
[54]2026-01-14 15:26:43,794: epoch= 29, loss=9738.750, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.2065, NDCG@5=0.1814, NDCG@10=0.1922, NDCG@20=0.2361
[54]2026-01-14 15:26:44,021: epoch= 30, loss=9399.045, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2169, NDCG@5=0.1868, NDCG@10=0.1981, NDCG@20=0.2401
[54]2026-01-14 15:26:44,264: epoch= 31, loss=9090.603, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.2169, NDCG@5=0.1891, NDCG@10=0.2026, NDCG@20=0.2458
[54]2026-01-14 15:26:44,520: epoch= 32, loss=8792.483, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.2169, NDCG@5=0.1917, NDCG@10=0.2069, NDCG@20=0.2493
[54]2026-01-14 15:26:44,754: epoch= 33, loss=8515.968, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2065, NDCG@5=0.1922, NDCG@10=0.2061, NDCG@20=0.2495
[54]2026-01-14 15:26:44,990: epoch= 34, loss=8200.195, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2031, NDCG@5=0.1909, NDCG@10=0.2087, NDCG@20=0.2522
[54]2026-01-14 15:26:45,216: epoch= 35, loss=8048.938, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2048, NDCG@5=0.1913, NDCG@10=0.2105, NDCG@20=0.2553
