[54]2026-01-03 18:15:38,924: 
>>>>> Main Config
[Dataset]
data_dir: data/recsys_data
dataset: amazon_cds
min_user_per_item: 1
min_item_per_user: 10
leave_k: 5
popularity_order: True

[Evaluator]
ks: [1, 5, 10, 20]

[EarlyStop]
early_stop: 10
early_stop_measure: mean

[Experiment]
num_epochs: 72
verbose: 0
print_step: 1
test_step: 1
test_from: 0
model_name: MF_adaboost
gpu: 0

>>>>> model Config
[Model]
dropout: 0
emb_dim: 100
neg_sample_rate: 2
neg_sample_rate_eval: 2
reg: 1e-05
batch_size: 1024
test_batch_size: 1024
lr: 0.001
beta1: 1
beta2: 2
tau: 0.001
neg_sample_num: 5
display_step: 1
iters: 40


[54]2026-01-03 18:15:38,924: 
Dataset: amazon_cds
# of users: 581
# of items: 636

[54]2026-01-03 18:15:46,172: epoch= 26, loss=10815.452, train time=0.14, epoch time=0.28 (0.14 + 0.14), NDCG@1=0.2065, NDCG@5=0.1742, NDCG@10=0.1838, NDCG@20=0.2167
[54]2026-01-03 18:15:46,405: epoch= 27, loss=10427.914, train time=0.08, epoch time=0.23 (0.08 + 0.15), NDCG@1=0.2065, NDCG@5=0.1747, NDCG@10=0.1860, NDCG@20=0.2215
[54]2026-01-03 18:15:46,593: epoch= 28, loss=10074.004, train time=0.09, epoch time=0.18 (0.09 + 0.09), NDCG@1=0.2134, NDCG@5=0.1772, NDCG@10=0.1908, NDCG@20=0.2267
[54]2026-01-03 18:15:46,842: epoch= 29, loss=9671.590, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.2134, NDCG@5=0.1784, NDCG@10=0.1914, NDCG@20=0.2293
[54]2026-01-03 18:15:47,076: epoch= 30, loss=9405.891, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.2186, NDCG@5=0.1820, NDCG@10=0.1989, NDCG@20=0.2353
[54]2026-01-03 18:15:47,303: epoch= 31, loss=8994.143, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2238, NDCG@5=0.1841, NDCG@10=0.2026, NDCG@20=0.2389
[54]2026-01-03 18:15:47,542: epoch= 32, loss=8791.867, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.2169, NDCG@5=0.1850, NDCG@10=0.2017, NDCG@20=0.2409
[54]2026-01-03 18:15:47,774: epoch= 33, loss=8398.450, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.2151, NDCG@5=0.1856, NDCG@10=0.2052, NDCG@20=0.2431
[54]2026-01-03 18:15:48,045: epoch= 34, loss=8201.316, train time=0.13, epoch time=0.27 (0.13 + 0.14), NDCG@1=0.2151, NDCG@5=0.1898, NDCG@10=0.2096, NDCG@20=0.2466
[54]2026-01-03 18:15:48,250: epoch= 35, loss=7946.530, train time=0.11, epoch time=0.20 (0.11 + 0.09), NDCG@1=0.2220, NDCG@5=0.1928, NDCG@10=0.2125, NDCG@20=0.2513
[54]2026-01-03 18:15:48,502: epoch= 36, loss=7663.068, train time=0.13, epoch time=0.25 (0.13 + 0.11), NDCG@1=0.2324, NDCG@5=0.1965, NDCG@10=0.2137, NDCG@20=0.2532
[54]2026-01-03 18:15:48,729: epoch= 37, loss=7412.162, train time=0.11, epoch time=0.20 (0.11 + 0.09), NDCG@1=0.2358, NDCG@5=0.1958, NDCG@10=0.2152, NDCG@20=0.2551
[54]2026-01-03 18:15:48,979: epoch= 38, loss=7253.825, train time=0.15, epoch time=0.25 (0.15 + 0.10), NDCG@1=0.2341, NDCG@5=0.2000, NDCG@10=0.2163, NDCG@20=0.2577
[54]2026-01-03 18:15:49,228: epoch= 39, loss=7018.117, train time=0.15, epoch time=0.24 (0.15 + 0.09), NDCG@1=0.2272, NDCG@5=0.1998, NDCG@10=0.2166, NDCG@20=0.2575
[54]2026-01-03 18:15:49,455: epoch= 40, loss=6789.605, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2358, NDCG@5=0.2006, NDCG@10=0.2188, NDCG@20=0.2606
[54]2026-01-03 18:15:49,690: epoch= 41, loss=6575.389, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2341, NDCG@5=0.2015, NDCG@10=0.2177, NDCG@20=0.2618
[54]2026-01-03 18:15:49,950: epoch= 42, loss=6332.746, train time=0.13, epoch time=0.26 (0.13 + 0.12), NDCG@1=0.2358, NDCG@5=0.2030, NDCG@10=0.2199, NDCG@20=0.2643
[54]2026-01-03 18:15:50,158: epoch= 43, loss=6120.152, train time=0.10, epoch time=0.20 (0.10 + 0.11), NDCG@1=0.2375, NDCG@5=0.2012, NDCG@10=0.2223, NDCG@20=0.2657
[54]2026-01-03 18:15:50,382: epoch= 44, loss=6000.003, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2306, NDCG@5=0.1998, NDCG@10=0.2217, NDCG@20=0.2668
[54]2026-01-03 18:15:50,606: epoch= 45, loss=5769.619, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2392, NDCG@5=0.2032, NDCG@10=0.2247, NDCG@20=0.2689
[54]2026-01-03 18:15:50,835: epoch= 46, loss=5653.490, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2392, NDCG@5=0.2025, NDCG@10=0.2245, NDCG@20=0.2701
[54]2026-01-03 18:15:51,089: epoch= 47, loss=5423.059, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.2358, NDCG@5=0.2033, NDCG@10=0.2257, NDCG@20=0.2696
[54]2026-01-03 18:15:51,307: epoch= 48, loss=5315.721, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.2272, NDCG@5=0.2007, NDCG@10=0.2242, NDCG@20=0.2678
[54]2026-01-03 18:15:51,523: epoch= 49, loss=5213.914, train time=0.13, epoch time=0.21 (0.13 + 0.08), NDCG@1=0.2306, NDCG@5=0.2037, NDCG@10=0.2253, NDCG@20=0.2681
[54]2026-01-03 18:15:51,774: epoch= 50, loss=5026.827, train time=0.15, epoch time=0.25 (0.15 + 0.10), NDCG@1=0.2324, NDCG@5=0.2045, NDCG@10=0.2256, NDCG@20=0.2698
[54]2026-01-03 18:15:52,003: epoch= 51, loss=4892.424, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.2341, NDCG@5=0.2038, NDCG@10=0.2254, NDCG@20=0.2709
[54]2026-01-03 18:15:52,242: epoch= 52, loss=4712.955, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.2358, NDCG@5=0.2055, NDCG@10=0.2269, NDCG@20=0.2714
[54]2026-01-03 18:15:52,491: epoch= 53, loss=4606.853, train time=0.14, epoch time=0.24 (0.14 + 0.11), NDCG@1=0.2341, NDCG@5=0.2063, NDCG@10=0.2276, NDCG@20=0.2705
[54]2026-01-03 18:15:52,745: epoch= 54, loss=4496.422, train time=0.11, epoch time=0.23 (0.11 + 0.11), NDCG@1=0.2358, NDCG@5=0.2092, NDCG@10=0.2274, NDCG@20=0.2732
[54]2026-01-03 18:15:53,006: epoch= 55, loss=4380.462, train time=0.15, epoch time=0.26 (0.15 + 0.11), NDCG@1=0.2358, NDCG@5=0.2099, NDCG@10=0.2281, NDCG@20=0.2736
[54]2026-01-03 18:15:53,234: epoch= 56, loss=4313.836, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.2358, NDCG@5=0.2082, NDCG@10=0.2242, NDCG@20=0.2720
[54]2026-01-03 18:15:53,478: epoch= 57, loss=4159.688, train time=0.13, epoch time=0.24 (0.13 + 0.11), NDCG@1=0.2341, NDCG@5=0.2081, NDCG@10=0.2247, NDCG@20=0.2745
[54]2026-01-03 18:15:53,725: epoch= 58, loss=4087.311, train time=0.14, epoch time=0.24 (0.14 + 0.10), NDCG@1=0.2375, NDCG@5=0.2114, NDCG@10=0.2270, NDCG@20=0.2748
[54]2026-01-03 18:15:53,960: epoch= 59, loss=3958.896, train time=0.14, epoch time=0.23 (0.14 + 0.09), NDCG@1=0.2324, NDCG@5=0.2089, NDCG@10=0.2240, NDCG@20=0.2716
[54]2026-01-03 18:15:54,194: epoch= 60, loss=3846.137, train time=0.13, epoch time=0.23 (0.13 + 0.10), NDCG@1=0.2341, NDCG@5=0.2098, NDCG@10=0.2249, NDCG@20=0.2723
[54]2026-01-03 18:15:54,454: epoch= 61, loss=3746.277, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.2341, NDCG@5=0.2099, NDCG@10=0.2253, NDCG@20=0.2742
[54]2026-01-03 18:15:54,702: epoch= 62, loss=3689.966, train time=0.12, epoch time=0.24 (0.12 + 0.12), NDCG@1=0.2358, NDCG@5=0.2084, NDCG@10=0.2261, NDCG@20=0.2745
[54]2026-01-03 18:15:54,922: epoch= 63, loss=3544.648, train time=0.12, epoch time=0.22 (0.12 + 0.10), NDCG@1=0.2341, NDCG@5=0.2106, NDCG@10=0.2246, NDCG@20=0.2754
[54]2026-01-03 18:15:55,185: epoch= 64, loss=3469.342, train time=0.14, epoch time=0.26 (0.14 + 0.12), NDCG@1=0.2358, NDCG@5=0.2127, NDCG@10=0.2268, NDCG@20=0.2754
[54]2026-01-03 18:15:55,386: epoch= 65, loss=3397.671, train time=0.11, epoch time=0.20 (0.11 + 0.08), NDCG@1=0.2375, NDCG@5=0.2130, NDCG@10=0.2262, NDCG@20=0.2750
[54]2026-01-03 18:15:55,610: epoch= 66, loss=3292.917, train time=0.12, epoch time=0.22 (0.12 + 0.09), NDCG@1=0.2358, NDCG@5=0.2122, NDCG@10=0.2267, NDCG@20=0.2754
[54]2026-01-03 18:15:55,858: Early stop triggered.
[54]2026-01-03 18:15:56,134: epoch=  1, loss=21010.326, train time=0.08, epoch time=0.18 (0.08 + 0.10), NDCG@1=0.0103, NDCG@5=0.0097, NDCG@10=0.0134, NDCG@20=0.0206
[54]2026-01-03 18:15:56,385: epoch=  2, loss=20942.330, train time=0.14, epoch time=0.25 (0.14 + 0.11), NDCG@1=0.0103, NDCG@5=0.0101, NDCG@10=0.0140, NDCG@20=0.0211
[54]2026-01-03 18:15:56,602: epoch=  3, loss=20875.469, train time=0.12, epoch time=0.21 (0.12 + 0.09), NDCG@1=0.0120, NDCG@5=0.0118, NDCG@10=0.0145, NDCG@20=0.0217
[54]2026-01-03 18:15:56,825: epoch=  4, loss=20873.953, train time=0.14, epoch time=0.22 (0.14 + 0.08), NDCG@1=0.0138, NDCG@5=0.0137, NDCG@10=0.0170, NDCG@20=0.0258
[54]2026-01-03 18:15:57,051: epoch=  5, loss=20765.008, train time=0.13, epoch time=0.22 (0.13 + 0.09), NDCG@1=0.0207, NDCG@5=0.0191, NDCG@10=0.0231, NDCG@20=0.0329
[54]2026-01-03 18:15:57,274: epoch=  6, loss=20685.865, train time=0.14, epoch time=0.22 (0.14 + 0.08), NDCG@1=0.0310, NDCG@5=0.0288, NDCG@10=0.0337, NDCG@20=0.0452
[54]2026-01-03 18:15:57,590: epoch=  7, loss=20558.293, train time=0.14, epoch time=0.31 (0.14 + 0.17), NDCG@1=0.0430, NDCG@5=0.0447, NDCG@10=0.0516, NDCG@20=0.0672
